=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0
Relation:     train
Instances:    371
Attributes:   7
              id
              bone_length
              rotting_flesh
              hair_length
              has_soul
              color
              type
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

Bagging with 10 iterations and base learner

weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0
Attribute mappings:

Model attributes         	    Incoming attributes
-------------------------	    ----------------
(numeric) id             	--> 1 (numeric) id
(numeric) bone_length    	--> 2 (numeric) bone_length
(numeric) rotting_flesh  	--> 3 (numeric) rotting_flesh
(numeric) hair_length    	--> 4 (numeric) hair_length
(numeric) has_soul       	--> 5 (numeric) has_soul
(nominal) color          	--> 6 (nominal) color
(nominal) type           	--> 7 (nominal) type


Time taken to build model: 0.01 seconds

=== Predictions on test set ===

    inst#     actual  predicted error prediction
        1        1:?    1:Ghoul       0.908 
        2        1:?   2:Goblin       0.721 
        3        1:?    1:Ghoul       0.515 
        4        1:?    1:Ghoul       0.42 
        5        1:?    3:Ghost       0.824 
        6        1:?    3:Ghost       0.913 
        7        1:?    1:Ghoul       0.677 
        8        1:?   2:Goblin       0.558 
        9        1:?   2:Goblin       0.561 
       10        1:?    1:Ghoul       0.518 
       11        1:?    3:Ghost       0.924 
       12        1:?    1:Ghoul       0.847 
       13        1:?   2:Goblin       0.689 
       14        1:?    3:Ghost       0.73 
       15        1:?    1:Ghoul       0.71 
       16        1:?    3:Ghost       0.615 
       17        1:?   2:Goblin       0.566 
       18        1:?    3:Ghost       0.924 
       19        1:?    3:Ghost       0.778 
       20        1:?    1:Ghoul       0.846 
       21        1:?    1:Ghoul       0.444 
       22        1:?   2:Goblin       0.791 
       23        1:?    1:Ghoul       0.847 
       24        1:?    3:Ghost       0.519 
       25        1:?    1:Ghoul       0.537 
       26        1:?   2:Goblin       0.821 
       27        1:?    1:Ghoul       0.91 
       28        1:?   2:Goblin       0.796 
       29        1:?    1:Ghoul       0.925 
       30        1:?    1:Ghoul       0.662 
       31        1:?   2:Goblin       0.557 
       32        1:?    1:Ghoul       0.677 
       33        1:?    1:Ghoul       0.91 
       34        1:?   2:Goblin       0.61 
       35        1:?   2:Goblin       0.658 
       36        1:?    1:Ghoul       0.899 
       37        1:?    3:Ghost       0.602 
       38        1:?   2:Goblin       0.555 
       39        1:?    3:Ghost       0.839 
       40        1:?    1:Ghoul       0.75 
       41        1:?   2:Goblin       0.564 
       42        1:?    1:Ghoul       0.566 
       43        1:?   2:Goblin       0.659 
       44        1:?   2:Goblin       0.525 
       45        1:?    3:Ghost       0.527 
       46        1:?    1:Ghoul       0.685 
       47        1:?    1:Ghoul       0.846 
       48        1:?    1:Ghoul       0.863 
       49        1:?    1:Ghoul       0.899 
       50        1:?    3:Ghost       0.599 
       51        1:?   2:Goblin       0.822 
       52        1:?   2:Goblin       0.48 
       53        1:?    3:Ghost       0.918 
       54        1:?   2:Goblin       0.802 
       55        1:?   2:Goblin       0.805 
       56        1:?    3:Ghost       0.899 
       57        1:?   2:Goblin       0.86 
       58        1:?    1:Ghoul       0.469 
       59        1:?    1:Ghoul       0.911 
       60        1:?    3:Ghost       0.918 
       61        1:?   2:Goblin       0.415 
       62        1:?    1:Ghoul       0.831 
       63        1:?    3:Ghost       0.672 
       64        1:?   2:Goblin       0.53 
       65        1:?    1:Ghoul       0.68 
       66        1:?   2:Goblin       0.562 
       67        1:?    1:Ghoul       0.722 
       68        1:?    1:Ghoul       0.84 
       69        1:?    3:Ghost       0.669 
       70        1:?    1:Ghoul       0.753 
       71        1:?    3:Ghost       0.505 
       72        1:?    3:Ghost       0.526 
       73        1:?   2:Goblin       0.633 
       74        1:?    1:Ghoul       0.753 
       75        1:?   2:Goblin       0.574 
       76        1:?    1:Ghoul       0.724 
       77        1:?   2:Goblin       0.586 
       78        1:?   2:Goblin       0.623 
       79        1:?    3:Ghost       0.943 
       80        1:?   2:Goblin       0.712 
       81        1:?    3:Ghost       0.698 
       82        1:?   2:Goblin       0.768 
       83        1:?    1:Ghoul       0.787 
       84        1:?    1:Ghoul       0.677 
       85        1:?    3:Ghost       0.853 
       86        1:?    3:Ghost       0.851 
       87        1:?   2:Goblin       0.492 
       88        1:?   2:Goblin       0.667 
       89        1:?    3:Ghost       0.918 
       90        1:?    3:Ghost       0.753 
       91        1:?    3:Ghost       0.837 
       92        1:?    3:Ghost       0.918 
       93        1:?   2:Goblin       0.633 
       94        1:?   2:Goblin       0.545 
       95        1:?    3:Ghost       0.8 
       96        1:?    3:Ghost       0.73 
       97        1:?    3:Ghost       0.497 
       98        1:?    3:Ghost       0.519 
       99        1:?   2:Goblin       0.623 
      100        1:?    3:Ghost       0.486 
      101        1:?   2:Goblin       0.767 
      102        1:?   2:Goblin       0.803 
      103        1:?   2:Goblin       0.666 
      104        1:?    3:Ghost       0.523 
      105        1:?    1:Ghoul       0.91 
      106        1:?    1:Ghoul       0.577 
      107        1:?    1:Ghoul       0.623 
      108        1:?    3:Ghost       0.469 
      109        1:?    1:Ghoul       0.907 
      110        1:?    1:Ghoul       0.755 
      111        1:?    3:Ghost       0.655 
      112        1:?   2:Goblin       0.539 
      113        1:?    3:Ghost       0.444 
      114        1:?   2:Goblin       0.465 
      115        1:?    1:Ghoul       0.791 
      116        1:?    3:Ghost       0.699 
      117        1:?    3:Ghost       0.4 
      118        1:?   2:Goblin       0.592 
      119        1:?    1:Ghoul       0.783 
      120        1:?    3:Ghost       0.918 
      121        1:?    1:Ghoul       0.537 
      122        1:?   2:Goblin       0.571 
      123        1:?    3:Ghost       0.865 
      124        1:?    1:Ghoul       0.709 
      125        1:?    1:Ghoul       0.844 
      126        1:?    3:Ghost       0.918 
      127        1:?    3:Ghost       0.918 
      128        1:?    3:Ghost       0.672 
      129        1:?    1:Ghoul       0.91 
      130        1:?    1:Ghoul       0.385 
      131        1:?    3:Ghost       0.821 
      132        1:?   2:Goblin       0.827 
      133        1:?   2:Goblin       0.713 
      134        1:?    1:Ghoul       0.831 
      135        1:?    3:Ghost       0.56 
      136        1:?   2:Goblin       0.683 
      137        1:?    1:Ghoul       0.915 
      138        1:?   2:Goblin       0.487 
      139        1:?   2:Goblin       0.392 
      140        1:?   2:Goblin       0.541 
      141        1:?    1:Ghoul       0.831 
      142        1:?    3:Ghost       0.58 
      143        1:?    3:Ghost       0.734 
      144        1:?    1:Ghoul       0.735 
      145        1:?    1:Ghoul       0.701 
      146        1:?    3:Ghost       0.918 
      147        1:?    1:Ghoul       0.724 
      148        1:?   2:Goblin       0.493 
      149        1:?    3:Ghost       0.918 
      150        1:?    3:Ghost       0.593 
      151        1:?   2:Goblin       0.606 
      152        1:?    1:Ghoul       0.6 
      153        1:?    1:Ghoul       0.738 
      154        1:?   2:Goblin       0.456 
      155        1:?   2:Goblin       0.486 
      156        1:?    3:Ghost       0.589 
      157        1:?    1:Ghoul       0.925 
      158        1:?    1:Ghoul       0.91 
      159        1:?    3:Ghost       0.721 
      160        1:?    1:Ghoul       0.915 
      161        1:?    1:Ghoul       0.933 
      162        1:?    1:Ghoul       0.523 
      163        1:?    1:Ghoul       0.777 
      164        1:?    1:Ghoul       0.495 
      165        1:?    3:Ghost       0.918 
      166        1:?    3:Ghost       0.907 
      167        1:?   2:Goblin       0.599 
      168        1:?    3:Ghost       0.918 
      169        1:?   2:Goblin       0.872 
      170        1:?    3:Ghost       0.918 
      171        1:?    3:Ghost       0.918 
      172        1:?    1:Ghoul       0.527 
      173        1:?    3:Ghost       0.918 
      174        1:?   2:Goblin       0.685 
      175        1:?    1:Ghoul       0.899 
      176        1:?    1:Ghoul       0.91 
      177        1:?    3:Ghost       0.557 
      178        1:?    1:Ghoul       0.91 
      179        1:?    1:Ghoul       0.702 
      180        1:?    1:Ghoul       0.575 
      181        1:?    3:Ghost       0.918 
      182        1:?    3:Ghost       0.523 
      183        1:?    1:Ghoul       0.829 
      184        1:?    3:Ghost       0.549 
      185        1:?    3:Ghost       0.899 
      186        1:?   2:Goblin       0.814 
      187        1:?   2:Goblin       0.568 
      188        1:?    1:Ghoul       0.696 
      189        1:?    1:Ghoul       0.804 
      190        1:?    3:Ghost       0.918 
      191        1:?    3:Ghost       0.918 
      192        1:?    1:Ghoul       0.846 
      193        1:?   2:Goblin       0.392 
      194        1:?    3:Ghost       0.669 
      195        1:?    1:Ghoul       0.777 
      196        1:?   2:Goblin       0.741 
      197        1:?   2:Goblin       0.651 
      198        1:?   2:Goblin       0.76 
      199        1:?    1:Ghoul       0.655 
      200        1:?    1:Ghoul       0.829 
      201        1:?    3:Ghost       0.918 
      202        1:?    3:Ghost       0.918 
      203        1:?    3:Ghost       0.773 
      204        1:?    3:Ghost       0.557 
      205        1:?   2:Goblin       0.602 
      206        1:?   2:Goblin       0.412 
      207        1:?   2:Goblin       0.615 
      208        1:?   2:Goblin       0.503 
      209        1:?   2:Goblin       0.886 
      210        1:?    1:Ghoul       0.776 
      211        1:?   2:Goblin       0.663 
      212        1:?    3:Ghost       0.467 
      213        1:?    3:Ghost       0.918 
      214        1:?    3:Ghost       0.918 
      215        1:?   2:Goblin       0.577 
      216        1:?   2:Goblin       0.601 
      217        1:?    1:Ghoul       0.557 
      218        1:?    3:Ghost       0.918 
      219        1:?    1:Ghoul       0.819 
      220        1:?   2:Goblin       0.776 
      221        1:?   2:Goblin       0.826 
      222        1:?   2:Goblin       0.638 
      223        1:?   2:Goblin       0.502 
      224        1:?    1:Ghoul       0.925 
      225        1:?    1:Ghoul       0.68 
      226        1:?   2:Goblin       0.7 
      227        1:?    3:Ghost       0.918 
      228        1:?    3:Ghost       0.721 
      229        1:?   2:Goblin       0.694 
      230        1:?    3:Ghost       0.75 
      231        1:?   2:Goblin       0.569 
      232        1:?   2:Goblin       0.671 
      233        1:?    3:Ghost       0.918 
      234        1:?    3:Ghost       0.918 
      235        1:?    3:Ghost       0.918 
      236        1:?    1:Ghoul       0.736 
      237        1:?    3:Ghost       0.709 
      238        1:?    1:Ghoul       0.81 
      239        1:?   2:Goblin       0.462 
      240        1:?   2:Goblin       0.402 
      241        1:?    3:Ghost       0.918 
      242        1:?    3:Ghost       0.557 
      243        1:?    3:Ghost       0.918 
      244        1:?    3:Ghost       0.918 
      245        1:?   2:Goblin       0.567 
      246        1:?   2:Goblin       0.468 
      247        1:?   2:Goblin       0.529 
      248        1:?    3:Ghost       0.918 
      249        1:?    3:Ghost       0.825 
      250        1:?   2:Goblin       0.632 
      251        1:?    3:Ghost       0.918 
      252        1:?   2:Goblin       0.507 
      253        1:?    3:Ghost       0.692 
      254        1:?    1:Ghoul       0.511 
      255        1:?    1:Ghoul       0.396 
      256        1:?   2:Goblin       0.59 
      257        1:?    3:Ghost       0.918 
      258        1:?    1:Ghoul       0.673 
      259        1:?    3:Ghost       0.554 
      260        1:?    3:Ghost       0.769 
      261        1:?    3:Ghost       0.721 
      262        1:?   2:Goblin       0.872 
      263        1:?    3:Ghost       0.499 
      264        1:?   2:Goblin       0.592 
      265        1:?   2:Goblin       0.669 
      266        1:?    1:Ghoul       0.526 
      267        1:?    1:Ghoul       0.502 
      268        1:?    1:Ghoul       0.899 
      269        1:?   2:Goblin       0.561 
      270        1:?    3:Ghost       0.67 
      271        1:?    1:Ghoul       0.714 
      272        1:?    1:Ghoul       0.669 
      273        1:?    3:Ghost       0.549 
      274        1:?    3:Ghost       0.444 
      275        1:?    1:Ghoul       0.91 
      276        1:?    1:Ghoul       0.899 
      277        1:?   2:Goblin       0.832 
      278        1:?    1:Ghoul       0.847 
      279        1:?    1:Ghoul       0.497 
      280        1:?    3:Ghost       0.899 
      281        1:?    3:Ghost       0.749 
      282        1:?   2:Goblin       0.805 
      283        1:?    1:Ghoul       0.915 
      284        1:?    1:Ghoul       0.86 
      285        1:?    1:Ghoul       0.763 
      286        1:?    1:Ghoul       0.746 
      287        1:?   2:Goblin       0.556 
      288        1:?    1:Ghoul       0.495 
      289        1:?    3:Ghost       0.672 
      290        1:?    3:Ghost       0.721 
      291        1:?    1:Ghoul       0.568 
      292        1:?    3:Ghost       0.771 
      293        1:?    1:Ghoul       0.829 
      294        1:?   2:Goblin       0.633 
      295        1:?   2:Goblin       0.533 
      296        1:?   2:Goblin       0.521 
      297        1:?    3:Ghost       0.918 
      298        1:?   2:Goblin       0.796 
      299        1:?    3:Ghost       0.918 
      300        1:?    3:Ghost       0.36 
      301        1:?    1:Ghoul       0.482 
      302        1:?    3:Ghost       0.398 
      303        1:?    3:Ghost       0.844 
      304        1:?    3:Ghost       0.677 
      305        1:?    1:Ghoul       0.793 
      306        1:?    1:Ghoul       0.742 
      307        1:?    1:Ghoul       0.473 
      308        1:?   2:Goblin       0.488 
      309        1:?   2:Goblin       0.496 
      310        1:?   2:Goblin       0.611 
      311        1:?    1:Ghoul       0.829 
      312        1:?    1:Ghoul       0.91 
      313        1:?   2:Goblin       0.797 
      314        1:?    3:Ghost       0.918 
      315        1:?    3:Ghost       0.669 
      316        1:?   2:Goblin       0.692 
      317        1:?   2:Goblin       0.824 
      318        1:?    3:Ghost       0.666 
      319        1:?    3:Ghost       0.899 
      320        1:?    1:Ghoul       0.476 
      321        1:?    3:Ghost       0.589 
      322        1:?   2:Goblin       0.573 
      323        1:?    1:Ghoul       0.47 
      324        1:?    1:Ghoul       0.752 
      325        1:?    3:Ghost       0.918 
      326        1:?   2:Goblin       0.432 
      327        1:?    3:Ghost       0.918 
      328        1:?    1:Ghoul       0.485 
      329        1:?    3:Ghost       0.899 
      330        1:?    1:Ghoul       0.91 
      331        1:?    1:Ghoul       0.74 
      332        1:?   2:Goblin       0.505 
      333        1:?   2:Goblin       0.676 
      334        1:?    3:Ghost       0.899 
      335        1:?    3:Ghost       0.918 
      336        1:?    1:Ghoul       0.502 
      337        1:?   2:Goblin       0.576 
      338        1:?    1:Ghoul       0.899 
      339        1:?    1:Ghoul       0.711 
      340        1:?    1:Ghoul       0.931 
      341        1:?    1:Ghoul       0.821 
      342        1:?   2:Goblin       0.481 
      343        1:?   2:Goblin       0.734 
      344        1:?   2:Goblin       0.473 
      345        1:?   2:Goblin       0.622 
      346        1:?   2:Goblin       0.554 
      347        1:?    3:Ghost       0.918 
      348        1:?   2:Goblin       0.748 
      349        1:?    3:Ghost       0.769 
      350        1:?    1:Ghoul       0.766 
      351        1:?    1:Ghoul       0.624 
      352        1:?    3:Ghost       0.928 
      353        1:?    1:Ghoul       0.793 
      354        1:?    3:Ghost       0.839 
      355        1:?   2:Goblin       0.538 
      356        1:?   2:Goblin       0.64 
      357        1:?   2:Goblin       0.774 
      358        1:?    3:Ghost       0.918 
      359        1:?    3:Ghost       0.918 
      360        1:?    1:Ghoul       0.709 
      361        1:?    3:Ghost       0.394 
      362        1:?    3:Ghost       0.617 
      363        1:?   2:Goblin       0.466 
      364        1:?    3:Ghost       0.918 
      365        1:?    3:Ghost       0.494 
      366        1:?    1:Ghoul       0.518 
      367        1:?    1:Ghoul       0.85 
      368        1:?   2:Goblin       0.751 
      369        1:?    1:Ghoul       0.593 
      370        1:?    1:Ghoul       0.791 
      371        1:?    3:Ghost       0.757 
      372        1:?    3:Ghost       0.918 
      373        1:?    1:Ghoul       0.844 
      374        1:?    3:Ghost       0.918 
      375        1:?    3:Ghost       0.471 
      376        1:?    3:Ghost       0.857 
      377        1:?    1:Ghoul       0.708 
      378        1:?    3:Ghost       0.663 
      379        1:?   2:Goblin       0.598 
      380        1:?    1:Ghoul       0.899 
      381        1:?    1:Ghoul       0.585 
      382        1:?    3:Ghost       0.918 
      383        1:?    3:Ghost       0.918 
      384        1:?   2:Goblin       0.494 
      385        1:?    3:Ghost       0.487 
      386        1:?    3:Ghost       0.918 
      387        1:?    3:Ghost       0.857 
      388        1:?    3:Ghost       0.648 
      389        1:?    3:Ghost       0.591 
      390        1:?    3:Ghost       0.552 
      391        1:?    1:Ghoul       0.714 
      392        1:?    1:Ghoul       0.847 
      393        1:?    3:Ghost       0.918 
      394        1:?    3:Ghost       0.679 
      395        1:?    3:Ghost       0.519 
      396        1:?    1:Ghoul       0.899 
      397        1:?    1:Ghoul       0.91 
      398        1:?   2:Goblin       0.478 
      399        1:?    3:Ghost       0.646 
      400        1:?    1:Ghoul       0.767 
      401        1:?    3:Ghost       0.696 
      402        1:?    1:Ghoul       0.848 
      403        1:?   2:Goblin       0.615 
      404        1:?    1:Ghoul       0.926 
      405        1:?    3:Ghost       0.918 
      406        1:?    1:Ghoul       0.719 
      407        1:?    1:Ghoul       0.926 
      408        1:?    3:Ghost       0.899 
      409        1:?   2:Goblin       0.713 
      410        1:?    3:Ghost       0.918 
      411        1:?    3:Ghost       0.769 
      412        1:?    3:Ghost       0.767 
      413        1:?    1:Ghoul       0.753 
      414        1:?    3:Ghost       0.512 
      415        1:?    1:Ghoul       0.664 
      416        1:?    3:Ghost       0.918 
      417        1:?   2:Goblin       0.562 
      418        1:?    1:Ghoul       0.534 
      419        1:?    3:Ghost       0.361 
      420        1:?    3:Ghost       0.768 
      421        1:?    3:Ghost       0.918 
      422        1:?    1:Ghoul       0.53 
      423        1:?    1:Ghoul       0.757 
      424        1:?    1:Ghoul       0.465 
      425        1:?    3:Ghost       0.918 
      426        1:?    3:Ghost       0.918 
      427        1:?   2:Goblin       0.483 
      428        1:?    3:Ghost       0.581 
      429        1:?    1:Ghoul       0.783 
      430        1:?    3:Ghost       0.918 
      431        1:?    1:Ghoul       0.4 
      432        1:?    3:Ghost       0.547 
      433        1:?    1:Ghoul       0.555 
      434        1:?    1:Ghoul       0.482 
      435        1:?    3:Ghost       0.518 
      436        1:?    1:Ghoul       0.697 
      437        1:?    3:Ghost       0.447 
      438        1:?    3:Ghost       0.918 
      439        1:?   2:Goblin       0.581 
      440        1:?    3:Ghost       0.918 
      441        1:?    1:Ghoul       0.823 
      442        1:?    3:Ghost       0.425 
      443        1:?    3:Ghost       0.918 
      444        1:?    3:Ghost       0.45 
      445        1:?    3:Ghost       0.899 
      446        1:?   2:Goblin       0.463 
      447        1:?    3:Ghost       0.757 
      448        1:?    1:Ghoul       0.485 
      449        1:?   2:Goblin       0.389 
      450        1:?    1:Ghoul       0.493 
      451        1:?    1:Ghoul       0.926 
      452        1:?    1:Ghoul       0.738 
      453        1:?   2:Goblin       0.53 
      454        1:?   2:Goblin       0.419 
      455        1:?   2:Goblin       0.374 
      456        1:?    3:Ghost       0.699 
      457        1:?   2:Goblin       0.818 
      458        1:?    3:Ghost       0.848 
      459        1:?    1:Ghoul       0.706 
      460        1:?   2:Goblin       0.637 
      461        1:?    3:Ghost       0.918 
      462        1:?    3:Ghost       0.909 
      463        1:?    1:Ghoul       0.777 
      464        1:?    1:Ghoul       0.842 
      465        1:?    3:Ghost       0.451 
      466        1:?    1:Ghoul       0.358 
      467        1:?    3:Ghost       0.573 
      468        1:?    1:Ghoul       0.817 
      469        1:?    1:Ghoul       0.587 
      470        1:?    3:Ghost       0.918 
      471        1:?    1:Ghoul       0.795 
      472        1:?    3:Ghost       0.452 
      473        1:?   2:Goblin       0.415 
      474        1:?    1:Ghoul       0.766 
      475        1:?    3:Ghost       0.858 
      476        1:?    3:Ghost       0.899 
      477        1:?   2:Goblin       0.495 
      478        1:?    3:Ghost       0.918 
      479        1:?    3:Ghost       0.918 
      480        1:?   2:Goblin       0.567 
      481        1:?    1:Ghoul       0.542 
      482        1:?   2:Goblin       0.486 
      483        1:?    3:Ghost       0.851 
      484        1:?    3:Ghost       0.348 
      485        1:?    3:Ghost       0.648 
      486        1:?   2:Goblin       0.586 
      487        1:?    3:Ghost       0.464 
      488        1:?    3:Ghost       0.874 
      489        1:?    3:Ghost       0.918 
      490        1:?    1:Ghoul       0.776 
      491        1:?    3:Ghost       0.899 
      492        1:?    1:Ghoul       0.706 
      493        1:?    1:Ghoul       0.91 
      494        1:?    3:Ghost       0.899 
      495        1:?    1:Ghoul       0.91 
      496        1:?    3:Ghost       0.918 
      497        1:?    1:Ghoul       0.493 
      498        1:?    1:Ghoul       0.684 
      499        1:?    1:Ghoul       0.535 
      500        1:?    3:Ghost       0.851 
      501        1:?   2:Goblin       0.661 
      502        1:?    3:Ghost       0.899 
      503        1:?    3:Ghost       0.672 
      504        1:?   2:Goblin       0.724 
      505        1:?    1:Ghoul       0.899 
      506        1:?    3:Ghost       0.515 
      507        1:?    1:Ghoul       0.739 
      508        1:?    3:Ghost       0.676 
      509        1:?    1:Ghoul       0.847 
      510        1:?    3:Ghost       0.503 
      511        1:?    1:Ghoul       0.454 
      512        1:?    1:Ghoul       0.785 
      513        1:?    3:Ghost       0.918 
      514        1:?    3:Ghost       0.785 
      515        1:?    1:Ghoul       0.907 
      516        1:?    1:Ghoul       0.854 
      517        1:?    1:Ghoul       0.59 
      518        1:?   2:Goblin       0.813 
      519        1:?   2:Goblin       0.54 
      520        1:?    3:Ghost       0.918 
      521        1:?    1:Ghoul       0.915 
      522        1:?   2:Goblin       0.531 
      523        1:?    1:Ghoul       0.842 
      524        1:?    1:Ghoul       0.836 
      525        1:?   2:Goblin       0.548 
      526        1:?    3:Ghost       0.589 
      527        1:?    1:Ghoul       0.915 
      528        1:?    3:Ghost       0.918 
      529        1:?    3:Ghost       0.918 

=== Evaluation on test set ===

Time taken to test model on supplied test set: 0.23 seconds

=== Summary ===

Total Number of Instances                0     
Ignored Class Unknown Instances                529     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 ?        ?        ?          ?        ?          ?        ?         ?         Ghoul
                 ?        ?        ?          ?        ?          ?        ?         ?         Goblin
