=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.trees.HoeffdingTree -- -L 2 -S 1 -E 1.0E-7 -H 0.05 -M 0.01 -G 200.0 -N 0.0
Relation:     train
Instances:    371
Attributes:   7
              id
              bone_length
              rotting_flesh
              hair_length
              has_soul
              color
              type
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

Ghoul (130.000) NB1 NB adaptive1
Attribute mappings:

Model attributes         	    Incoming attributes
-------------------------	    ----------------
(numeric) id             	--> 1 (numeric) id
(numeric) bone_length    	--> 2 (numeric) bone_length
(numeric) rotting_flesh  	--> 3 (numeric) rotting_flesh
(numeric) hair_length    	--> 4 (numeric) hair_length
(numeric) has_soul       	--> 5 (numeric) has_soul
(nominal) color          	--> 6 (nominal) color
(nominal) type           	--> 7 (nominal) type


Time taken to build model: 0 seconds

=== Predictions on test set ===

    inst#     actual  predicted error prediction
        1        1:?    1:Ghoul       0.835 
        2        1:?   2:Goblin       0.626 
        3        1:?    1:Ghoul       0.585 
        4        1:?    3:Ghost       0.42 
        5        1:?    3:Ghost       0.928 
        6        1:?    3:Ghost       0.996 
        7        1:?    1:Ghoul       0.714 
        8        1:?    1:Ghoul       0.596 
        9        1:?   2:Goblin       0.804 
       10        1:?    1:Ghoul       0.746 
       11        1:?    3:Ghost       0.93 
       12        1:?    1:Ghoul       0.803 
       13        1:?   2:Goblin       0.6 
       14        1:?    3:Ghost       0.858 
       15        1:?    1:Ghoul       0.891 
       16        1:?    3:Ghost       0.807 
       17        1:?    1:Ghoul       0.615 
       18        1:?    3:Ghost       0.99 
       19        1:?    3:Ghost       0.934 
       20        1:?    1:Ghoul       0.799 
       21        1:?    1:Ghoul       0.727 
       22        1:?   2:Goblin       0.543 
       23        1:?   2:Goblin       0.573 
       24        1:?    3:Ghost       0.517 
       25        1:?   2:Goblin       0.62 
       26        1:?   2:Goblin       0.984 
       27        1:?    1:Ghoul       0.871 
       28        1:?   2:Goblin       0.733 
       29        1:?    1:Ghoul       0.973 
       30        1:?    1:Ghoul       0.527 
       31        1:?   2:Goblin       0.566 
       32        1:?    1:Ghoul       0.81 
       33        1:?    1:Ghoul       0.969 
       34        1:?   2:Goblin       0.722 
       35        1:?   2:Goblin       0.78 
       36        1:?    1:Ghoul       0.968 
       37        1:?   2:Goblin       0.542 
       38        1:?   2:Goblin       0.586 
       39        1:?    3:Ghost       0.99 
       40        1:?    1:Ghoul       0.534 
       41        1:?   2:Goblin       0.665 
       42        1:?    1:Ghoul       0.681 
       43        1:?   2:Goblin       0.708 
       44        1:?   2:Goblin       0.609 
       45        1:?    3:Ghost       0.538 
       46        1:?    1:Ghoul       0.657 
       47        1:?    1:Ghoul       0.905 
       48        1:?    1:Ghoul       0.913 
       49        1:?    1:Ghoul       0.858 
       50        1:?   2:Goblin       0.705 
       51        1:?   2:Goblin       0.682 
       52        1:?   2:Goblin       0.489 
       53        1:?    3:Ghost       0.999 
       54        1:?   2:Goblin       0.852 
       55        1:?   2:Goblin       0.981 
       56        1:?    3:Ghost       0.975 
       57        1:?   2:Goblin       0.926 
       58        1:?   2:Goblin       0.506 
       59        1:?    1:Ghoul       0.978 
       60        1:?    3:Ghost       0.956 
       61        1:?    1:Ghoul       0.622 
       62        1:?    1:Ghoul       0.886 
       63        1:?    3:Ghost       0.783 
       64        1:?   2:Goblin       0.903 
       65        1:?    1:Ghoul       0.504 
       66        1:?    1:Ghoul       0.636 
       67        1:?    1:Ghoul       0.94 
       68        1:?    1:Ghoul       0.746 
       69        1:?   2:Goblin       0.461 
       70        1:?    1:Ghoul       0.677 
       71        1:?    3:Ghost       0.48 
       72        1:?    3:Ghost       0.541 
       73        1:?    1:Ghoul       0.706 
       74        1:?    1:Ghoul       0.935 
       75        1:?   2:Goblin       0.63 
       76        1:?    1:Ghoul       0.83 
       77        1:?   2:Goblin       0.551 
       78        1:?   2:Goblin       0.782 
       79        1:?    3:Ghost       0.784 
       80        1:?   2:Goblin       0.879 
       81        1:?    3:Ghost       0.942 
       82        1:?   2:Goblin       0.99 
       83        1:?    1:Ghoul       0.751 
       84        1:?    1:Ghoul       0.518 
       85        1:?    3:Ghost       0.677 
       86        1:?    3:Ghost       0.991 
       87        1:?    3:Ghost       0.991 
       88        1:?   2:Goblin       0.823 
       89        1:?    3:Ghost       0.984 
       90        1:?    3:Ghost       0.927 
       91        1:?    3:Ghost       1 
       92        1:?    3:Ghost       0.961 
       93        1:?   2:Goblin       0.699 
       94        1:?   2:Goblin       0.68 
       95        1:?    3:Ghost       0.968 
       96        1:?    3:Ghost       0.755 
       97        1:?   2:Goblin       0.569 
       98        1:?   2:Goblin       0.49 
       99        1:?   2:Goblin       0.763 
      100        1:?   2:Goblin       0.602 
      101        1:?   2:Goblin       0.5 
      102        1:?   2:Goblin       0.781 
      103        1:?   2:Goblin       0.542 
      104        1:?    3:Ghost       0.631 
      105        1:?    1:Ghoul       1 
      106        1:?    1:Ghoul       0.615 
      107        1:?    1:Ghoul       0.502 
      108        1:?   2:Goblin       0.627 
      109        1:?    1:Ghoul       0.782 
      110        1:?    1:Ghoul       0.816 
      111        1:?    3:Ghost       0.706 
      112        1:?   2:Goblin       0.577 
      113        1:?    3:Ghost       0.587 
      114        1:?   2:Goblin       0.635 
      115        1:?    1:Ghoul       0.742 
      116        1:?    3:Ghost       0.616 
      117        1:?   2:Goblin       0.508 
      118        1:?   2:Goblin       0.792 
      119        1:?    1:Ghoul       0.906 
      120        1:?    3:Ghost       0.798 
      121        1:?   2:Goblin       0.627 
      122        1:?    3:Ghost       0.826 
      123        1:?    3:Ghost       0.964 
      124        1:?    1:Ghoul       0.569 
      125        1:?    1:Ghoul       0.929 
      126        1:?    3:Ghost       0.973 
      127        1:?    3:Ghost       0.953 
      128        1:?    3:Ghost       0.973 
      129        1:?    1:Ghoul       0.989 
      130        1:?    1:Ghoul       0.606 
      131        1:?    3:Ghost       0.967 
      132        1:?   2:Goblin       0.746 
      133        1:?   2:Goblin       0.731 
      134        1:?    1:Ghoul       0.934 
      135        1:?   2:Goblin       0.528 
      136        1:?   2:Goblin       0.569 
