@relation test-weka.filters.unsupervised.attribute.Add-TNOM-Ntype-L-Clast-W1.0

@attribute id numeric
@attribute bone_length numeric
@attribute rotting_flesh numeric
@attribute hair_length numeric
@attribute has_soul numeric
@attribute color {black,white,blue,clear,green,blood}
@attribute type {}

@data
3,0.471774,0.387937,0.706087,0.698537,black,?
6,0.427332,0.645024,0.565558,0.451462,white,?
9,0.549602,0.491931,0.660387,0.449809,black,?
10,0.638095,0.682867,0.471409,0.356924,white,?
13,0.361762,0.583997,0.377256,0.276364,black,?
14,0.29289,0.505851,0.297927,0.106263,white,?
15,0.584456,0.55168,0.62833,0.499118,white,?
16,0.485525,0.459242,0.657735,0.565337,blue,?
17,0.471757,0.407916,0.465992,0.406608,blue,?
18,0.572953,0.316454,0.668388,0.640692,clear,?
20,0.320542,0.561671,0.340446,0.338964,white,?
21,0.413702,0.563031,0.82265,0.525445,clear,?
24,0.135615,0.513499,0.590764,0.54924,clear,?
26,0.457618,0.85781,0.414919,0.442086,clear,?
33,0.628138,0.439252,0.637545,0.610321,white,?
38,0.512685,0.626072,0.470339,0.233309,black,?
40,0.379503,0.553922,0.658881,0.637538,clear,?
41,0.250058,0.612236,0.282862,0.311914,blue,?
42,0.353175,0.575386,0.502246,0.141404,white,?
43,0.44785,0.564487,0.765803,0.567927,clear,?
44,0.503025,0.37796,0.414351,0.836448,clear,?
46,0.59512,0.369372,0.621586,0.410242,black,?
48,0.28437,0.204599,0.827083,0.600012,clear,?
49,0.474666,0.428245,0.3642,0.366822,black,?
50,0.443456,0.531209,0.517803,0.592878,clear,?
51,0.394139,0.039409,0.579969,0.594723,clear,?
52,0.632675,0.388988,0.723793,0.54511,green,?
53,0.571754,0.371245,0.544449,0.416371,green,?
55,0.556255,0.810394,0.689321,0.887827,blue,?
57,0.524343,0.383853,0.758056,0.400695,clear,?
59,0.554626,0.370881,0.507867,0.557927,white,?
60,0.587973,0.546885,0.638699,0.55105,white,?
61,0.690488,0.744956,0.708241,0.623938,black,?
63,0.346761,0.313704,0.655007,0.559002,white,?
64,0.298456,0.378495,0.552947,0.609918,clear,?
